#lambda lambda_nm X1.0 X1.1 X1.2 X1.3 X1.5 X1.7 X2.0 X2.5 X3.0
0.371586796 371.586796 485.357 520.395 553.557 584.906 642.426 693.507 759.372 845.219 907.545
0.371958569 371.958569 472.061 506.15 538.411 568.905 624.844 674.505 738.503 821.834 882.254
0.372330714 372.330714 456.368 489.331 520.527 550.014 604.104 652.117 713.978 794.495 852.843
0.372703231 372.703231 436.694 468.243 498.111 526.355 578.198 624.262 683.688 761.209 817.557
0.37307612 373.07612 426.218 457.004 486.125 513.633 564.036 608.695 666.083 740.418 793.933
0.373449383 373.449383 428.906 459.874 489.094 516.621 566.817 610.968 667.107 738.445 788.429
0.373823019 373.823019 418.469 448.698 477.228 504.107 553.138 596.278 651.16 720.956 769.915
0.37419702899999996 374.197029 431.758 462.968 492.379 520.043 570.352 614.411 670.078 739.973 788.084
0.374571413 374.571413 416.047 446.154 474.57 501.345 550.187 593.16 647.819 717.301 766.003
0.37494617199999997 374.946172 416.072 446.26 474.834 501.845 551.385 595.339 651.913 725.387 778.473
0.37532130599999997 375.321306 430.051 461.327 490.977 519.053 570.696 616.714 676.305 754.529 811.879
0.375696815 375.696815 453.486 486.526 517.845 547.497 602.026 650.594 713.448 795.858 856.182
0.3760727 376.0727 455.26 488.466 519.957 549.789 604.693 653.658 717.133 800.606 861.954
0.37644896 376.44896 455.319 488.565 520.115 550.022 605.131 654.363 718.337 802.81 865.237
0.37682559800000004 376.825598 465.971 500.058 532.442 563.178 619.927 670.779 737.133 825.384 891.229
0.377202612 377.202612 492.293 528.386 562.695 595.28 655.507 709.559 780.236 874.575 945.298
0.377580003 377.580003 535.66 575.001 612.361 647.801 713.176 771.67 847.832 948.748 1023.67
0.37795777199999997 377.957772 528.097 566.939 603.888 639.004 703.984 762.398 838.95 941.511 1018.78
0.37833591899999996 378.335919 533.418 572.698 610.076 645.614 711.414 770.617 848.294 952.569 1031.33
0.37871444400000004 378.714444 533.36 572.657 610.04 645.571 711.316 770.412 847.84 951.532 1029.61
0.379093348 379.093348 492.538 528.804 563.318 596.135 656.899 711.57 783.292 879.551 952.243
0.379472631 379.472631 469.174 503.678 536.469 567.598 625.081 676.588 743.775 833.056 899.607
0.37985229299999995 379.852293 458.222 491.954 524.05 554.561 611.031 661.801 728.334 817.453 884.585
0.380232335 380.232335 474.517 509.518 542.845 574.55 633.299 686.211 755.718 849.202 919.997
0.380612758 380.612758 485.632 521.527 555.743 588.333 648.847 703.513 775.619 873.275 947.898
0.380993561 380.993561 471.536 506.393 539.612 571.246 629.958 682.961 752.806 847.244 919.258
0.381374745 381.374745 463.842 498.129 530.776 561.833 619.376 671.189 739.219 830.632 899.782
0.38175631099999996 381.756311 458.379 492.24 524.412 554.944 611.281 661.691 727.302 814.13 878.492
0.382138258 382.138258 412.216 442.617 471.505 498.923 549.521 594.804 653.753 731.783 789.643
0.38252058699999997 382.520587 369.547 396.74 422.572 447.078 492.27 532.668 585.17 654.458 705.622
0.38290329900000003 382.903299 355.114 381.225 406.003 429.482 472.695 511.204 561.031 626.265 673.907
0.383286394 383.286394 369.963 397.168 422.893 447.173 491.553 530.684 580.54 643.984 688.452
0.383669872 383.669872 335.982 360.685 384.118 406.313 447.126 483.448 530.345 591.506 635.925
0.38405373400000004 384.053734 365.342 392.332 417.997 442.369 487.389 527.729 580.317 650.086 701.973
0.38443797999999996 384.43798 398.109 427.644 455.773 482.535 532.121 576.757 635.319 713.886 773.197
0.38482261 384.82261 431.58 463.678 494.228 523.27 577.009 625.283 688.432 772.714 835.903
0.385207625 385.207625 423.634 455.186 485.273 513.936 567.157 615.217 678.545 764.135 829.379
0.38559302500000003 385.593025 425.455 457.186 487.47 516.349 570.058 618.674 682.942 770.284 837.343
0.38597881100000003 385.978811 416.917 448.04 477.777 506.17 559.085 607.129 670.906 758.195 825.823
0.386364983 386.364983 416.376 447.484 477.214 505.607 558.543 606.633 670.516 758.053 825.976
0.386751541 386.751541 419.89 451.287 481.288 509.931 563.311 611.771 676.083 764.061 832.184
0.387138486 387.138486 415.164 446.234 475.942 504.327 557.288 605.452 669.52 757.511 825.986
0.387525818 387.525818 417.675 448.96 478.87 507.444 560.743 609.194 673.605 761.972 830.649
0.387913538 387.913538 413.093 444.057 473.674 501.982 554.827 602.919 666.95 755.02 823.688
0.388301646 388.301646 413.294 444.295 473.944 502.278 555.158 603.259 667.263 755.197 823.666
0.388690141 388.690141 414.309 445.421 475.192 503.659 556.833 605.268 669.827 758.786 828.312
0.389079026 389.079026 455.232 489.434 522.114 553.315 611.449 664.207 734.197 829.921 904.104
0.3894683 389.4683 465.957 501.126 534.816 567.071 627.442 682.593 756.393 858.748 939.404
0.389857963 389.857963 481.817 518.246 553.159 586.597 649.226 706.493 783.221 889.858 974.11
