#  "Lp" from Roys wish filter list, July 2018
# Wavelength  Throughput
#   [micron]  [dim-less]
      3.8242      0.9386
      3.8250      0.9383
      3.8258      0.9381
      3.8266      0.9378
      3.8274      0.9375
      3.8282      0.9373
      3.8290      0.9370
      3.8298      0.9367
      3.8306      0.9365
      3.8314      0.9362
      3.8322      0.9359
      3.8330      0.9357
      3.8338      0.9354
      3.8346      0.9351
      3.8354      0.9349
      3.8362      0.9346
      3.8370      0.9343
      3.8378      0.9341
      3.8386      0.9338
      3.8394      0.9335
      3.8401      0.9333
      3.8409      0.9330
      3.8417      0.9328
      3.8425      0.9325
      3.8433      0.9322
      3.8441      0.9320
      3.8449      0.9317
      3.8457      0.9314
      3.8465      0.9312
      3.8473      0.9309
      3.8481      0.9306
      3.8489      0.9304
      3.8497      0.9301
      3.8505      0.9300
      3.8513      0.9300
      3.8521      0.9300
      3.8529      0.9300
      3.8537      0.9300
      3.8545      0.9300
      3.8553      0.9300
      3.8561      0.9300
      3.8569      0.9300
      3.8577      0.9300
      3.8585      0.9300
      3.8593      0.9300
      3.8601      0.9300
      3.8609      0.9300
      3.8617      0.9300
      3.8625      0.9300
      3.8633      0.9300
      3.8641      0.9300
      3.8649      0.9300
      3.8657      0.9300
      3.8665      0.9300
      3.8673      0.9300
      3.8682      0.9300
      3.8690      0.9300
      3.8698      0.9300
      3.8706      0.9300
      3.8714      0.9300
      3.8722      0.9300
      3.8730      0.9300
      3.8738      0.9300
      3.8746      0.9300
      3.8754      0.9300
      3.8762      0.9300
      3.8770      0.9300
      3.8778      0.9300
      3.8786      0.9300
      3.8794      0.9300
      3.8802      0.9300
      3.8810      0.9300
      3.8818      0.9300
      3.8826      0.9300
      3.8834      0.9300
      3.8842      0.9300
      3.8851      0.9300
      3.8859      0.9300
      3.8867      0.9300
      3.8875      0.9300
      3.8883      0.9300
      3.8891      0.9300
      3.8899      0.9300
      3.8907      0.9300
      3.8915      0.9300
      3.8923      0.9300
      3.8931      0.9300
      3.8939      0.9300
      3.8947      0.9300
      3.8955      0.9300
      3.8964      0.9300
      3.8972      0.9300
      3.8980      0.9300
      3.8988      0.9300
      3.8996      0.9300
      3.9004      0.9300
      3.9012      0.9300
      3.9020      0.9300
      3.9028      0.9300
      3.9036      0.9300
      3.9045      0.9300
      3.9053      0.9300
      3.9061      0.9300
      3.9069      0.9300
      3.9077      0.9300
      3.9085      0.9300
      3.9093      0.9300
      3.9101      0.9300
      3.9109      0.9303
      3.9118      0.9306
      3.9126      0.9309
      3.9134      0.9311
      3.9142      0.9314
      3.9150      0.9317
      3.9158      0.9319
      3.9166      0.9322
