# METIS WFS dichroic (ZnSe), at ca. 60 K (TBC)
# received from Roy as METIS_CFO_WDS_dichroic.csv on 25 May 2018
#
# wavelength     transmission       emissivity
#   [micron]  [dimensionless]  [dimensionless]
  24.8255601        0.0000000        1.0000000
  24.9910244        0.0000000        1.0000000
  25.1575915        0.0000000        1.0000000
  25.3252687        0.0000000        1.0000000
  25.4940635        0.0000000        1.0000000
  25.6639834        0.0000000        1.0000000
  25.8350358        0.0000000        1.0000000
  26.0072283        0.0000000        1.0000000
  26.1805684        0.0000000        1.0000000
  26.3550639        0.0000000        1.0000000
  26.5307224        0.0000000        1.0000000
  26.7075517        0.0000000        1.0000000
  26.8855595        0.0000000        1.0000000
  27.0647538        0.0000000        1.0000000
  27.2451425        0.0000000        1.0000000
  27.4267334        0.0000000        1.0000000
  27.6095347        0.0000000        1.0000000
  27.7935543        0.0000000        1.0000000
  27.9788005        0.0000000        1.0000000
  28.1652813        0.0000000        1.0000000
  28.3530050        0.0000000        1.0000000
  28.5419800        0.0000000        1.0000000
  28.7322144        0.0000000        1.0000000
  28.9237168        0.0000000        1.0000000
  29.1164956        0.0000000        1.0000000
  29.3105592        0.0000000        1.0000000
  29.5059163        0.0000000        1.0000000
  29.7025755        0.0000000        1.0000000
  29.9005454        0.0000000        1.0000000
