#Wavelength	Flux
#um	ph/s/m2
0.30	12450027450.4
0.30	12194654698.0
0.30	11518686724.5
0.30	11485328694.8
0.30	12170272837.4
0.30	12510186163.7
0.30	12668936804.8
0.30	12806138768.2
0.30	12770734967.7
0.30	12454761739.4
0.30	12030808123.7
0.30	12116196995.2
0.30	12354878169.2
0.30	12643264918.2
0.30	12931705816.9
0.30	12742967240.1
0.30	11996992507.3
0.30	11605093576.7
0.30	12122519701.3
0.30	12547157946.9
0.30	12444706726.7
0.30	12441626656.0
0.30	12719475650.4
0.30	12895803595.8
0.30	12871154696.2
0.30	12658440110.3
0.30	12547293316.7
0.30	12526927859.0
0.30	12015722380.3
0.30	11792026935.2
0.30	12387948980.7
0.30	12841235881.4
0.30	12924720299.4
0.30	12586366003.5
0.30	11427952943.4
0.30	10494342781.4
0.30	11200854849.6
0.30	12305725599.9
0.30	12341585960.8
0.30	12152331490.4
0.30	12430651318.9
0.30	12317143281.4
0.30	11634142903.2
0.30	11096094188.4
0.30	11268294911.6
0.31	11943031184.0
0.31	12221495610.6
0.31	12458851640.3
0.31	12850085164.9
0.31	12903374557.0
0.31	12217717190.3
0.31	11308695931.4
0.31	11656621752.0
0.31	12260399651.5
0.31	11587410065.2
0.31	10690968741.2
0.31	11153892282.1
0.31	12352046811.4
0.31	12819566991.9
0.31	12519359425.3
0.31	12342739175.1
0.31	12673725442.7
0.31	12959213838.4
0.31	13077680164.6
0.31	13135410027.9
0.31	13154084584.4
0.31	13161915922.1
0.31	13163230172.0
0.31	13149347658.4
0.31	13046448120.8
0.31	12804560494.7
0.31	12469245665.6
0.31	12073053878.8
0.31	12124215449.0
0.31	12512086568.8
0.31	12402543001.8
0.31	12282112031.8
0.31	12465866493.6
0.31	12225895307.6
0.31	12174958989.1
0.31	12639143252.2
0.31	12792567618.9
0.31	12639494931.5
0.31	12412467641.2
0.31	11846189430.2
0.31	10986220714.0
0.31	11124334420.9
0.31	12284755430.5
0.31	12984247701.4
0.31	13059514093.3
0.31	12917224544.5
0.31	12785784077.2
0.31	12645609536.8
0.31	11848150117.7
0.31	10545561267.0
0.31	10402947031.1
0.31	11721084179.6
0.31	12266565230.0
0.31	11383746772.1
0.31	10524702427.9
0.31	10789278402.6
0.31	11406764941.6
0.31	11566922609.7
0.31	11352405380.7
0.31	11462477589.0
0.31	12058484878.8
0.31	12719988983.8
0.31	13045993097.6
0.31	12779205124.0
0.31	11912899579.9
0.31	11336371818.1
0.31	11154359884.3
0.31	10494782873.2
0.31	10456581119.7
0.31	11070469025.6
0.31	11645224145.4
0.31	12237539917.6
0.31	12799435397.5
0.31	13101803893.2
0.31	13138030152.3
0.31	13113154809.8
0.31	13077365540.9
0.31	13011010985.0
0.31	13010125995.0
0.31	12969951061.4
0.31	12510563629.9
0.31	11867663923.7
0.31	11925625779.2
0.31	12372357155.4
0.31	12270936362.6
0.31	11490134938.6
0.31	11576486762.8
0.31	12488733474.6
0.31	12924815585.4
0.31	13035373740.9
0.31	12971109948.4
0.31	12417228028.5
0.31	11823886723.8
0.31	11932191279.9
0.31	12206684400.6
0.31	12133563306.4
0.31	11918278622.6
0.31	12118492467.1
0.31	12522164945.3
0.31	12820915619.7
0.31	12778442818.8
0.31	12633131321.6
0.31	12853209044.7
0.31	13007682734.1
0.31	12711334371.9
0.31	12106306603.7
0.31	11991498275.3
0.31	12459005270.0
0.31	12830273483.2
0.31	12925710590.9
0.31	12342297402.0
0.31	10725031357.7
0.31	9477608205.7
0.31	10085342209.4
0.31	11681238319.3
0.31	12681501887.4
0.31	12213847886.2
0.31	10641619006.6
0.31	10318318794.5
0.31	11838321368.4
0.31	12950899037.5
0.31	13182387434.8
0.31	13146430129.1
0.31	12994252639.4
0.31	12861781074.6
0.31	12950796368.2
0.31	12993764338.7
0.31	12685761905.2
0.31	12452288682.0
0.31	12754118535.6
0.31	13097703401.9
0.31	13193376827.0
0.31	13203478559.2
0.31	13193824495.8
0.31	13181973413.2
0.31	13176704639.8
0.31	13167043604.5
0.31	13163969183.0
0.31	13075246978.0
0.31	12538470810.5
0.31	11652344069.6
0.31	11552461321.6
0.31	12034741841.7
0.31	11717359261.6
0.31	11338389880.9
0.31	11844969492.3
0.31	12239556421.8
0.31	12377060658.8
0.31	12514588183.7
0.31	11924455024.7
0.31	11408956891.5
0.31	11867468414.3
0.31	12255699357.6
0.31	12567033421.0
0.31	12431916381.6
0.31	11414662420.9
0.31	11116599902.8
0.31	11927397553.4
0.31	12705346569.3
0.31	13096132680.2
0.31	13174472644.8
0.31	13105355188.5
0.31	13040628261.8
0.31	13105774387.6
0.31	13184144455.3
0.31	13086375809.8
0.31	12812410312.0
0.31	12661722463.6
0.31	12555062155.5
0.31	11840388797.6
0.31	11015414603.5
0.31	11582765822.9
0.31	12315494165.1
0.31	12195517334.4
0.31	12381870185.6
0.31	12865824863.1
0.31	12948675400.8
0.31	12458335566.0
0.31	12062714868.7
0.31	12529188986.9
0.31	13008989458.5
0.31	12791943885.3
0.31	11785205781.2
0.31	11243720844.4
0.31	12065540490.9
0.31	12583042687.8
0.31	12365845821.8
0.31	12446527964.1
0.31	12864908085.4
0.31	12961106794.0
0.31	12443641426.8
0.31	11345443936.3
0.31	10377293389.7
0.31	10934786767.5
0.31	12386785001.1
0.31	12871703240.0
0.31	12477614038.3
0.31	12266796461.4
0.31	12707663876.0
0.31	13119897467.8
0.31	13202969966.9
0.31	13111476454.8
0.31	13017746143.6
0.31	12943896797.8
0.31	12872239978.3
0.31	12800572611.8
0.31	12713414433.5
0.31	12838516369.6
0.31	12952583989.2
0.31	12849930827.4
0.31	12656565597.2
0.31	12666680618.4
0.31	12942278497.8
0.31	13036500881.7
0.31	12593033324.0
0.31	12083086328.4
0.31	12358733443.7
0.31	12738472437.3
0.31	12779590990.2
0.31	12800797213.2
0.31	12587304531.0
0.31	12424702080.9
0.31	12698336936.3
0.31	12843568156.4
0.31	12399635595.3
0.31	11966688222.4
0.31	12362237857.3
0.31	13008233746.6
0.31	13244422432.4
0.31	13239095131.0
0.31	13165067294.0
0.31	13130917827.0
0.31	13183217473.4
0.31	13237744244.2
0.31	13145944194.9
0.31	12858989592.7
0.31	12769349668.8
0.31	13041210187.6
0.31	13235492334.9
0.31	13270090165.3
0.31	13240356955.5
0.31	13157369364.6
0.31	13067702148.2
0.31	13009092147.0
0.31	13045903688.6
0.31	12880734517.6
0.31	12120599962.4
0.31	11622288549.7
0.31	12256244632.3
0.31	12812607449.6
0.31	12833877230.6
0.31	12486463131.6
0.31	11317128588.0
0.31	10380812147.2
0.31	11246077295.1
0.31	12606996141.0
0.31	13123787625.7
0.31	13231770658.1
0.31	13259766340.3
0.31	13221082715.3
0.31	13000105957.8
0.31	12221052991.1
0.31	11428506615.0
0.31	11825462458.2
0.31	12435987751.5
0.31	12543992525.7
0.31	12769903353.5
0.31	13071495291.3
0.31	13212965056.9
0.31	13269907334.4
0.31	13242307489.4
0.31	13025539122.9
0.31	12530520766.2
0.31	12349249656.3
0.31	12768991473.0
0.31	12859321937.4
0.31	12604553837.0
0.31	12799544011.8
0.31	13128197274.9
0.31	13160691116.2
0.31	13146411090.0
0.31	13158864116.4
0.31	12770300788.6
0.31	11737730543.6
0.31	10789633208.6
0.31	9952767834.9
0.31	9675165095.7
0.31	10775033399.7
0.31	11585324108.6
0.31	12072504278.2
0.31	12566472198.2
0.31	12389335079.1
0.31	12064975290.9
0.31	12104097177.5
0.31	12633954679.2
0.31	13121530730.8
0.31	13147384601.9
0.31	12805089955.8
0.31	12560908654.3
0.31	12689369948.1
0.31	12853569690.1
0.31	12921817117.4
0.31	13010172649.8
0.31	13105243211.4
0.31	12771631779.4
0.31	11875230668.8
0.31	11295774491.7
0.31	11663193929.4
0.31	12472959639.8
0.31	12608239369.0
0.31	11800741603.8
0.31	11214284991.3
0.31	11070158476.8
0.31	11238876382.9
0.31	11830050731.0
0.31	12517459787.6
0.31	12976983481.4
0.31	12955923926.7
0.31	12510034255.7
0.31	12392768573.4
0.31	12856938824.5
0.31	13175821936.5
0.31	13226349150.6
0.31	13127004949.1
0.31	12915777461.9
0.31	12816380731.3
0.31	13010106681.8
0.31	13215059861.5
0.31	13120137916.7
0.31	12432026556.6
0.31	11696765745.6
0.31	11917340104.5
0.31	12225287266.1
0.31	12329516080.0
0.31	12350906229.7
0.31	12148325205.4
0.31	12180898125.4
0.31	12520383911.9
0.31	12983161437.3
0.31	12928442592.7
0.31	12237310309.3
0.31	11776870012.6
0.31	11583056434.3
0.31	11671633269.7
0.31	11953020989.9
0.31	11608953675.9
0.31	11917294997.0
0.31	12788549601.4
0.31	13155377106.4
0.31	13111836434.1
0.31	13036881588.3
0.31	13029213017.4
0.31	12631162501.7
0.31	12147772432.4
0.31	11971713290.3
0.31	11793370440.0
0.31	12227728848.2
0.31	12668907516.5
0.31	12605070708.5
0.31	12417744842.5
0.31	11561263817.6
0.31	10574371117.4
0.31	10586657960.5
0.31	10583222042.9
0.31	10790936596.0
0.31	11515375237.3
0.31	11662561951.6
0.31	12169283449.3
0.31	12903072249.7
0.31	12895369510.4
0.31	12170687971.2
0.31	11668394279.6
0.31	11743746700.2
0.31	11936023014.0
0.31	12629752958.9
0.31	13199941600.5
0.31	13331699315.4
0.31	13252061957.0
0.31	12769767240.4
0.31	12116410006.9
0.31	12344855036.9
0.31	13030104824.2
0.31	13287945723.0
0.31	13269018964.7
0.31	13180312566.0
0.31	12911517295.9
0.31	12458070874.6
0.31	12448058549.7
0.31	12838835307.6
0.31	13128359399.0
0.31	13145432428.4
0.31	13036388227.4
0.31	13084996513.0
0.31	13187675650.1
0.31	13024527043.0
0.31	12602226686.1
0.31	12490814403.0
0.31	12832367429.7
0.31	12660100110.4
0.31	11816072938.9
0.31	11828527802.2
0.31	12661643870.6
0.31	13052989401.4
0.31	13144496318.6
0.31	13254062498.8
0.31	13266666726.6
0.31	12952194060.2
0.31	12145871146.1
0.31	11743235523.5
0.31	12414552873.2
0.31	13115339281.2
0.31	13322019398.5
0.31	13278213837.3
0.31	13141845302.1
0.31	12967075362.1
0.31	12911924835.0
0.31	13008055981.6
0.31	12853540524.3
0.31	12669637365.8
0.31	12950974123.6
0.31	13117167916.1
0.31	12673439932.3
0.31	11949467276.4
0.31	11916771472.9
0.31	12247888015.8
0.31	12215212254.0
0.31	12618750372.6
0.31	13002028096.3
0.31	12564759605.6
0.31	11749834565.5
0.31	11411840920.8
0.31	11673036089.2
0.31	12468018205.7
0.31	13152322852.9
0.31	13348173076.1
0.31	13247705679.2
0.31	12599702457.7
0.31	11415308787.7
0.31	11120009190.6
0.31	12121431650.2
0.31	12853712399.9
0.31	12680701839.6
0.31	12498598112.9
0.31	12411551827.5
0.31	12075415270.2
0.31	12332510354.1
0.31	12614572086.8
0.31	12056389896.8
0.31	11253454376.2
0.31	10554565155.0
0.31	9923505409.5
0.31	10173745491.7
0.31	11683979486.1
0.31	12881766590.8
0.31	13193571368.3
0.31	13095154109.3
0.31	12878830805.0
0.31	12299706131.7
0.31	11659248621.7
0.31	11837295972.0
0.31	11831673935.0
0.31	10823537250.2
0.31	10797402041.5
0.31	11937310616.2
0.31	12435373428.1
0.31	12089453912.5
0.31	11430307778.2
0.31	11851306317.4
0.31	12694557647.0
0.31	12673125977.3
0.31	12272575422.0
0.31	11985461457.9
0.31	12032071496.9
0.31	12555573791.0
0.31	12833901495.3
0.31	12212842528.1
0.31	11718869679.1
0.31	12113060072.3
0.31	12509596615.0
0.31	12776695989.4
0.31	12952954704.3
0.31	13095154864.3
0.31	13221472672.0
0.31	13265983736.6
0.31	13301412480.6
0.31	13282281083.3
0.31	13147179169.0
0.31	13125755725.6
0.31	13243053917.1
0.31	13005557669.3
0.31	11632925495.8
0.31	9823229494.1
0.31	9701353843.0
0.31	10607932812.5
0.31	11473734060.0
0.31	12164468040.2
0.31	12607244184.4
0.31	12797441286.9
0.31	12436749355.4
0.31	12112413730.9
0.31	12664657505.7
0.31	13237507975.2
0.31	13359540518.4
0.31	13347207622.9
0.31	13305262752.6
0.31	13308872379.6
0.31	13371716439.7
0.31	13368499253.9
0.31	13173858058.5
0.31	12878895798.7
0.31	12944006953.8
0.31	13207444820.2
0.31	13092497964.8
0.31	12359660277.5
0.31	11204841104.4
0.31	10957395977.3
0.31	11925483859.3
0.31	12594974715.6
0.31	12874527964.9
0.31	13122195343.0
0.31	13276371045.0
0.31	13248037961.6
0.31	13158081692.9
0.31	13004204179.8
0.31	12400652546.1
0.31	11876871312.8
0.31	12215931193.6
0.31	12406655335.1
0.31	11757131662.8
0.31	11591602516.2
0.31	12360132866.7
0.31	12930103505.0
0.31	12675554065.3
0.31	11998319422.9
0.31	11761903541.3
0.31	11548290726.4
0.31	10916446108.5
0.31	11482038864.4
0.31	12680874695.1
0.31	13029600484.7
0.31	13074341153.9
0.31	12954472750.5
0.31	12418420465.1
0.31	12040052382.5
0.31	12006950816.5
0.31	12342090384.4
0.31	12983826911.3
0.31	13213898574.6
0.31	12732459636.5
0.31	11733798533.0
0.31	11224653122.1
0.31	11788780274.6
0.31	12721533020.9
0.31	13054723683.2
0.31	12769861587.2
0.31	12590266197.9
0.31	12406052487.5
0.31	11734028957.5
0.31	11705429630.1
0.31	12047877046.7
0.31	12346873245.6
0.31	12996442888.9
0.31	13359745165.3
0.31	13262551911.4
0.31	12470981606.6
0.31	10961898209.0
0.31	10497702862.4
0.31	11704507024.4
0.31	12471382459.6
0.31	12678980086.7
